Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Year,AST,AS,HST,HS,Hg,Ag
2012-12-01,West Brom,Stoke,0.0,1.0,A,2012,4.0,6.0,11.0,14.0,17,13
2012-12-01,West Ham,Chelsea,3.0,1.0,H,2012,9.0,16.0,13.0,16.0,18,2
2012-12-02,Norwich,Sunderland,2.0,1.0,H,2012,6.0,16.0,5.0,7.0,9,14
2012-12-03,Newcastle,Wigan,3.0,0.0,H,2012,4.0,9.0,8.0,16.0,8,19
2012-12-08,Arsenal,West Brom,2.0,0.0,H,2012,2.0,7.0,7.0,16.0,0,17
2012-12-08,Aston Villa,Stoke,0.0,0.0,D,2012,0.0,1.0,5.0,9.0,1,13
2012-12-08,Southampton,Reading,1.0,0.0,H,2012,2.0,6.0,9.0,18.0,12,11
2012-12-08,Sunderland,Chelsea,1.0,3.0,A,2012,5.0,11.0,10.0,14.0,14,2
2012-12-08,Swansea,Norwich,3.0,4.0,A,2012,8.0,10.0,10.0,21.0,15,9
2012-12-08,Wigan,QPR,2.0,2.0,D,2012,4.0,8.0,9.0,14.0,19,10
2012-12-09,Everton,Tottenham,2.0,1.0,H,2012,6.0,8.0,11.0,17.0,3,16
2012-12-09,Man City,Man United,2.0,3.0,A,2012,3.0,8.0,11.0,16.0,6,7
2012-12-09,West Ham,Liverpool,2.0,3.0,A,2012,8.0,16.0,6.0,9.0,18,5
2012-12-10,Fulham,Newcastle,2.0,1.0,H,2012,13.0,20.0,7.0,16.0,4,8
2012-12-11,Sunderland,Reading,3.0,0.0,H,2012,5.0,12.0,11.0,16.0,14,11
2012-12-15,Liverpool,Aston Villa,1.0,3.0,A,2012,6.0,9.0,17.0,26.0,5,1
2012-12-15,Man United,Sunderland,3.0,1.0,H,2012,10.0,13.0,6.0,15.0,7,14
2012-12-15,Newcastle,Man City,1.0,3.0,A,2012,10.0,16.0,8.0,17.0,8,6
2012-12-15,Norwich,Wigan,2.0,1.0,H,2012,6.0,12.0,10.0,16.0,9,19
2012-12-15,QPR,Fulham,2.0,1.0,H,2012,3.0,6.0,9.0,19.0,10,4
2012-12-15,Stoke,Everton,1.0,1.0,D,2012,5.0,9.0,8.0,14.0,13,3
2012-12-16,Tottenham,Swansea,1.0,0.0,H,2012,0.0,4.0,16.0,24.0,16,15
2012-12-16,West Brom,West Ham,0.0,0.0,D,2012,2.0,10.0,10.0,19.0,17,18
2012-12-17,Reading,Arsenal,2.0,5.0,A,2012,17.0,25.0,5.0,7.0,11,0
2012-12-22,Liverpool,Fulham,4.0,0.0,H,2012,6.0,7.0,12.0,22.0,5,4
2012-12-22,Man City,Reading,1.0,0.0,H,2012,1.0,6.0,10.0,17.0,6,11
2012-12-22,Newcastle,QPR,1.0,0.0,H,2012,4.0,5.0,8.0,18.0,8,10
2012-12-22,Southampton,Sunderland,0.0,1.0,A,2012,6.0,10.0,7.0,13.0,12,14
2012-12-22,Tottenham,Stoke,0.0,0.0,D,2012,2.0,4.0,14.0,21.0,16,13
2012-12-22,West Brom,Norwich,2.0,1.0,H,2012,4.0,10.0,8.0,12.0,17,9
2012-12-22,West Ham,Everton,1.0,2.0,A,2012,8.0,15.0,5.0,6.0,18,3
