Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Year,AST,AS,HST,HS,Hg,Ag,PFTAG,PFTHG,MHT,MAT,PFTR
2001-10-27,Sunderland,Arsenal,1.0,1.0,D,2001,5.0,14.0,6.0,10.0,17,0,1,1,1.5787295682490152,1.0721648384980735,D
2001-10-27,Tottenham,Middlesbrough,2.0,1.0,H,2001,3.0,8.0,4.0,10.0,18,14,0,1,1.01689995168935,0.8017116261732451,H
2001-10-28,Derby,Chelsea,1.0,1.0,D,2001,8.0,19.0,8.0,13.0,6,5,1,2,2.0669404433759713,1.7360219898761453,H
2001-10-28,Ipswich,West Ham,2.0,3.0,A,2001,4.0,12.0,8.0,12.0,9,19,0,2,2.091480023853539,0.8723938991129517,H
2001-10-29,Blackburn,Leicester,0.0,0.0,D,2001,5.0,10.0,3.0,12.0,2,11,1,0,0.6869059824543803,1.3303421713888994,A
2001-11-03,Bolton,Everton,2.0,2.0,D,2001,6.0,11.0,8.0,16.0,3,7,1,1,1.993321701943271,1.5946574439967254,D
2001-11-03,Leicester,Sunderland,1.0,0.0,H,2001,4.0,11.0,5.0,9.0,11,17,0,1,1.3223543404467497,0.9369382323356588,H
2001-11-03,Middlesbrough,Derby,5.0,1.0,H,2001,4.0,6.0,7.0,11.0,14,6,1,1,1.8351047960512783,1.2596598984491896,D
2001-11-03,Newcastle,Aston Villa,3.0,0.0,H,2001,2.0,10.0,7.0,17.0,15,1,0,1,1.6878673131858775,0.3437633538972986,H
2001-11-03,Southampton,Blackburn,1.0,2.0,A,2001,5.0,6.0,6.0,16.0,16,2,1,1,1.431492085383611,1.5885195042797275,D
2001-11-03,West Ham,Fulham,0.0,2.0,A,2001,6.0,14.0,6.0,12.0,19,8,1,1,1.5296504072938713,1.4010244443286046,D
2001-11-04,Arsenal,Charlton,2.0,4.0,A,2001,4.0,9.0,12.0,26.0,0,4,1,2,2.8715851302869186,1.0660268987810715,H
2001-11-04,Chelsea,Ipswich,2.0,1.0,H,2001,3.0,7.0,6.0,15.0,5,9,0,1,1.4560316658611747,0.8662559593959506,H
2001-11-04,Leeds,Tottenham,2.0,1.0,H,2001,4.0,11.0,9.0,20.0,10,18,0,2,2.1760781883128404,0.9369382323356588,H
2001-11-04,Liverpool,Man United,3.0,1.0,H,2001,3.0,10.0,5.0,8.0,12,13,0,1,1.3468939209243183,0.6726229597278316,H
2001-11-17,Aston Villa,Middlesbrough,0.0,0.0,D,2001,2.0,11.0,5.0,8.0,1,14,0,1,1.3468939209243183,0.27921902067459303,H
2001-11-17,Blackburn,Liverpool,1.0,1.0,D,2001,2.0,5.0,5.0,5.0,2,12,0,1,1.4205126623570208,0.6664850200108319,H
2001-11-17,Derby,Southampton,1.0,0.0,H,2001,4.0,8.0,3.0,9.0,6,16,1,0,0.7605247238870845,1.1305712320037782,A
2001-11-17,Fulham,Newcastle,3.0,1.0,H,2001,1.0,7.0,8.0,8.0,8,15,0,2,2.189638345763811,0.20853674773488529,H
2001-11-17,Man United,Leicester,2.0,0.0,H,2001,4.0,8.0,7.0,14.0,13,11,1,1,1.761486054618578,1.1305712320037782,D
2001-11-17,Tottenham,Arsenal,1.0,1.0,D,2001,5.0,5.0,4.0,9.0,18,0,1,1,1.0414395321669154,1.6530638375024338,D
2001-11-18,Everton,Chelsea,0.0,0.0,D,2001,7.0,14.0,4.0,12.0,7,5,1,0,0.96782079073421,1.7298840501591377,A
2001-11-18,Ipswich,Bolton,1.0,2.0,A,2001,5.0,10.0,4.0,8.0,9,3,1,1,1.0659791126444829,1.3303421713888994,D
2001-11-18,Sunderland,Leeds,2.0,0.0,H,2001,6.0,12.0,5.0,12.0,17,10,1,1,1.2487355990140458,1.530113110774018,D
2001-11-19,Charlton,West Ham,4.0,4.0,D,2001,7.0,11.0,9.0,18.0,4,19,1,2,2.225157349267968,1.923517049827258,H
2001-11-24,Bolton,Fulham,0.0,0.0,D,2001,1.0,7.0,5.0,11.0,3,8,0,1,1.2732751794916173,0.20853674773488529,H
2001-11-24,Chelsea,Blackburn,0.0,0.0,D,2001,2.0,8.0,8.0,14.0,5,2,0,2,2.042400862898408,0.4728520203427117,H
2001-11-24,Leicester,Everton,0.0,0.0,D,2001,3.0,8.0,7.0,8.0,11,7,0,1,1.9087235374839797,0.8017116261732451,H
2001-11-24,Newcastle,Derby,1.0,0.0,H,2001,4.0,8.0,10.0,17.0,15,6,1,2,2.5306117380253688,1.1305712320037782,H
2001-11-24,Southampton,Charlton,1.0,0.0,H,2001,4.0,7.0,8.0,15.0,16,4,1,2,2.01786128242084,1.1951155652264838,H
2001-11-24,West Ham,Tottenham,0.0,1.0,A,2001,3.0,10.0,6.0,10.0,19,18,0,1,1.5787295682490152,0.6726229597278316,H
2001-11-25,Arsenal,Man United,3.0,1.0,H,2001,1.0,2.0,10.0,14.0,0,13,0,2,2.6042304794580713,0.5312584138484177,H
2001-11-25,Leeds,Aston Villa,1.0,1.0,D,2001,8.0,15.0,9.0,16.0,10,1,1,2,2.274236510223103,1.9941993227669688,H
2001-11-25,Liverpool,Sunderland,1.0,0.0,H,2001,5.0,12.0,3.0,7.0,12,17,1,0,0.8096038848422197,1.2012535049434865,A
2001-11-25,Middlesbrough,Ipswich,0.0,0.0,D,2001,3.0,11.0,4.0,9.0,14,9,0,1,1.0414395321669154,0.6080786265051265,H
2001-12-01,Aston Villa,Leicester,0.0,2.0,A,2001,4.0,6.0,7.0,11.0,1,11,1,1,1.8351047960512783,1.2596598984491896,D
2001-12-01,Blackburn,Middlesbrough,0.0,1.0,A,2001,5.0,8.0,4.0,14.0,2,14,1,0,0.9187416297790816,1.459430837834314,A
2001-12-01,Charlton,Newcastle,1.0,1.0,D,2001,6.0,12.0,7.0,15.0,4,15,1,1,1.7369464741410052,1.530113110774018,D
2001-12-01,Derby,Liverpool,0.0,1.0,A,2001,5.0,7.0,4.0,12.0,6,12,1,0,0.96782079073421,1.5239751710570206,A
2001-12-01,Ipswich,Arsenal,0.0,2.0,A,2001,3.0,7.0,2.0,7.0,9,0,0,0,0.5286890765623908,0.8662559593959506,D
2001-12-01,Man United,Chelsea,0.0,3.0,A,2001,5.0,14.0,5.0,12.0,13,5,1,1,1.2487355990140458,1.0721648384980735,D
2001-12-01,Sunderland,West Ham,1.0,0.0,H,2001,5.0,10.0,6.0,15.0,17,19,1,1,1.4560316658611747,1.3303421713888994,D
2001-12-02,Everton,Southampton,2.0,0.0,H,2001,4.0,10.0,7.0,13.0,7,16,1,1,1.7860256350961443,1.001482565558366,D
2001-12-02,Fulham,Leeds,0.0,0.0,D,2001,5.0,6.0,5.0,13.0,8,10,1,1,1.224196018536483,1.5885195042797275,D
2001-12-03,Tottenham,Bolton,3.0,2.0,H,2001,6.0,9.0,6.0,14.0,18,3,1,1,1.4805712463387453,1.7237461104421377,D
2001-12-05,Chelsea,Charlton,0.0,1.0,A,2001,5.0,11.0,5.0,20.0,5,4,1,1,1.0524189551935184,1.265797838166195,D
2001-12-05,West Ham,Aston Villa,1.0,1.0,D,2001,5.0,12.0,8.0,14.0,19,1,1,2,2.042400862898408,1.2012535049434865,H
2001-12-08,Charlton,Tottenham,3.0,1.0,H,2001,5.0,14.0,6.0,11.0,4,18,1,1,1.5541899877714467,1.0721648384980735,D
2001-12-08,Derby,Bolton,1.0,0.0,H,2001,3.0,6.0,6.0,16.0,6,3,0,1,1.431492085383611,0.9308002926186583,H
2001-12-08,Fulham,Everton,2.0,0.0,H,2001,3.0,5.0,4.0,10.0,8,7,0,1,1.01689995168935,0.9953446258413652,H
2001-12-08,Leicester,Southampton,0.0,4.0,A,2001,5.0,10.0,4.0,8.0,11,16,1,1,1.0659791126444829,1.3303421713888994,D
2001-12-08,Liverpool,Middlesbrough,2.0,0.0,H,2001,2.0,4.0,5.0,8.0,12,14,0,1,1.3468939209243183,0.731029353233537,H
2001-12-08,Man United,West Ham,0.0,1.0,A,2001,4.0,8.0,6.0,17.0,13,19,1,1,1.406952504906046,1.1305712320037782,D
2001-12-09,Arsenal,Aston Villa,3.0,2.0,H,2001,5.0,8.0,8.0,15.0,0,1,1,2,2.01786128242084,1.459430837834314,H
2001-12-09,Blackburn,Leeds,1.0,2.0,A,2001,7.0,10.0,6.0,14.0,2,10,1,1,1.4805712463387453,1.9880613830499658,D
2001-12-09,Ipswich,Newcastle,0.0,1.0,A,2001,5.0,7.0,5.0,9.0,9,15,1,1,1.3223543404467497,1.5239751710570206,D
2001-12-09,Sunderland,Chelsea,0.0,0.0,D,2001,3.0,10.0,6.0,11.0,17,5,0,1,1.5541899877714467,0.6726229597278316,H
2001-12-12,Liverpool,Fulham,0.0,0.0,D,2001,4.0,8.0,7.0,16.0,12,8,1,1,1.7124068936634436,1.1305712320037782,D
2001-12-12,Man United,Derby,5.0,0.0,H,2001,5.0,8.0,11.0,20.0,13,6,1,2,2.7379078048725054,1.459430837834314,H
2001-12-15,Bolton,Charlton,0.0,0.0,D,2001,4.0,6.0,6.0,13.0,3,4,1,1,1.5051108268163111,1.2596598984491896,D
2001-12-15,Everton,Derby,1.0,0.0,H,2001,2.0,3.0,12.0,22.0,7,6,0,2,2.969743452197192,0.7955736864562446,H
2001-12-15,Middlesbrough,Man United,0.0,1.0,A,2001,5.0,14.0,3.0,6.0,14,13,1,0,0.8341434653197837,1.0721648384980735,A
2001-12-15,Newcastle,Blackburn,2.0,1.0,H,2001,6.0,8.0,6.0,15.0,15,2,1,1,1.4560316658611747,1.7882904436648441,D
2001-12-15,Southampton,Sunderland,2.0,0.0,H,2001,3.0,5.0,5.0,14.0,16,17,0,1,1.199656438058917,0.9953446258413652,H
2001-12-15,Tottenham,Fulham,4.0,0.0,H,2001,1.0,12.0,6.0,10.0,18,8,0,1,1.5787295682490152,-0.11418491837864812,H
2001-12-15,West Ham,Arsenal,1.0,1.0,D,2001,6.0,16.0,4.0,8.0,19,0,1,1,1.0659791126444829,1.2719357778831926,D
2001-12-16,Chelsea,Liverpool,4.0,0.0,H,2001,8.0,16.0,10.0,16.0,5,12,1,2,2.5551513185029338,1.92965498954426,H
2001-12-16,Leeds,Leicester,2.0,2.0,D,2001,4.0,5.0,7.0,14.0,10,11,1,1,1.761486054618578,1.324204231671899,D
2001-12-17,Aston Villa,Ipswich,2.0,1.0,H,2001,3.0,14.0,5.0,10.0,1,9,0,1,1.297814759969186,0.41444562683700575,H
2001-12-18,Arsenal,Newcastle,1.0,3.0,A,2001,3.0,4.0,8.0,19.0,0,15,1,1,1.9197029605105704,1.0598889590640714,D
2001-12-19,Leeds,Everton,3.0,2.0,H,2001,3.0,8.0,7.0,18.0,10,7,0,1,1.663327732708308,0.8017116261732451,H
2001-12-22,Charlton,Blackburn,0.0,2.0,A,2001,4.0,7.0,2.0,10.0,4,2,1,0,0.45507033512969103,1.1951155652264838,A
2001-12-22,Derby,Aston Villa,3.0,1.0,H,2001,3.0,10.0,7.0,10.0,6,1,0,1,1.859644376528848,0.6726229597278316,H
2001-12-22,Leeds,Newcastle,3.0,4.0,A,2001,7.0,13.0,6.0,15.0,10,15,1,1,1.4560316658611747,1.7944283833818442,D
2001-12-22,Leicester,West Ham,1.0,1.0,D,2001,3.0,7.0,4.0,10.0,11,19,0,1,1.01689995168935,0.8662559593959506,H
2001-12-22,Man United,Southampton,6.0,1.0,H,2001,3.0,6.0,7.0,12.0,13,16,0,1,1.8105652155737069,0.9308002926186583,H
2001-12-22,Sunderland,Everton,1.0,0.0,H,2001,5.0,8.0,5.0,10.0,17,7,1,1,1.297814759969186,1.459430837834314,D
2001-12-22,Tottenham,Ipswich,1.0,2.0,A,2001,4.0,12.0,6.0,12.0,18,9,0,1,1.5296504072938713,0.8723938991129517,H
2001-12-23,Chelsea,Bolton,5.0,1.0,H,2001,4.0,10.0,5.0,16.0,5,3,1,1,1.1505772771037812,1.001482565558366,D
2001-12-23,Liverpool,Arsenal,1.0,2.0,A,2001,3.0,11.0,2.0,15.0,12,0,0,0,0.332372432741851,0.6080786265051265,D
